,gmid10_id,gmid15_id,gmid10_vgs,gmid15_vgs,gmid10_vth,gmid15_vth,gmid10_vdsat,gmid15_vdsat,gmid10_rds,gmid15_rds,gmid10_gmrds,gmid15_gmrds,gmid10_gmrds_db,gmid15_gmrds_db,name,type,time,OK
0,30.93742,8.838244,848.163,736.245,719.8897,719.8888,132.84689999999998,79.24559,0.23719529999999997,0.6970346,60.84031,63.03595,35.6778,35.99177,dc_SchGtKttmmTtVt_19,Sch,Wed May 31 21:17:34 2023,True
1,30.009,7.7651900000000005,827.6772,713.5666000000001,702.5334,702.5325,131.4228,76.51061,0.233003,0.6485091,60.95045,62.42622,35.69387,35.90734,dc_SchGtKttmmTtVt_18,Sch,Wed May 31 21:17:32 2023,True
2,29.92475,7.667118,839.9229,722.1655999999999,716.3411,716.3402,130.9999,75.66916,0.2394552,0.7097074,60.27213,61.50029,35.59747,35.77749,dc_SchGtKttmmTtVt_17,Sch,Wed May 31 21:17:30 2023,True
3,29.422749999999997,6.983937,839.7172,717.6126,718.8676,718.8666999999999,130.0337,73.51707999999999,0.24227079999999998,0.7358431,59.98131,60.58362,35.5564,35.64692,dc_SchGtKttmmTtVt_16,Sch,Wed May 31 21:17:29 2023,True
4,30.62385,8.476749,846.2668,732.3404999999999,719.6976999999999,719.6968,132.2322,78.09455,0.2383761,0.7053550999999999,60.68521,62.55563,35.65614,35.92532,dc_SchGtKttmmTtVt_15,Sch,Wed May 31 21:17:27 2023,True
5,29.42143,7.062054,827.8991,709.8659,705.419,705.4181000000001,130.3829,74.40357,0.235868,0.6711413,60.42944,61.37662,35.62015,35.76005,dc_SchGtKttmmTtVt_14,Sch,Wed May 31 21:17:25 2023,True
6,32.93769,10.45853,839.1739,735.6163,702.7414,702.7405,136.0477,84.02531,0.2261301,0.6107883000000001,62.78037,65.99344,35.9462,36.38968,dc_SchGtKttmmTtVt_13,Sch,Wed May 31 21:17:23 2023,True
7,32.93786,10.52677,836.5247999999999,733.6662,699.5479,699.547,136.1449,84.24946,0.224767,0.6002329,62.82329,66.08129,35.95184,36.40113,dc_SchGtKttmmTtVt_12,Sch,Wed May 31 21:17:22 2023,True
8,30.589609999999997,8.219023,831.7959999999999,718.6922999999999,705.3847,705.3838,132.1498,77.61924,0.23325579999999999,0.6537415999999999,61.35181,63.02341,35.7504,35.99003,dc_SchGtKttmmTtVt_11,Sch,Wed May 31 21:17:20 2023,True
9,31.268240000000002,9.12553,849.2722,738.8271,719.658,719.6571,133.4053,80.14504,0.2360909,0.6890648,61.12019,63.53905,35.71723,36.06081,dc_SchGtKttmmTtVt_10,Sch,Wed May 31 21:17:18 2023,True
10,30.974559999999997,8.841883,850.1307,737.9923,722.0919,722.091,132.8681,79.24768999999999,0.23789649999999998,0.704463,60.95977,63.13584,35.69515,36.00552,dc_SchGtKttmmTtVt_9,Sch,Wed May 31 21:17:16 2023,True
11,29.29262,6.942769,825.8522,707.8735,703.5878,703.587,130.2513,74.18948999999999,0.2352192,0.664513,60.44757,61.36062,35.62286,35.75779,dc_SchGtKttmmTtVt_8,Sch,Wed May 31 21:17:14 2023,True
12,34.49526,11.610750000000001,850.6458,751.5213,706.5508,706.5499,138.84720000000002,87.67386,0.2226079,0.5981955,63.4235,67.61284,36.03184,36.60015,dc_SchGtKttmmTtVt_7,Sch,Wed May 31 21:17:13 2023,True
13,30.793229999999998,8.657903000000001,839.1201,727.2871,711.033,711.0320999999999,132.6157,78.76477,0.23454699999999998,0.6688637,60.86823,62.92588,35.68117,35.97657,dc_SchGtKttmmTtVt_6,Sch,Wed May 31 21:17:11 2023,True
14,30.830719999999996,8.634439,832.5104,721.6791999999999,704.1807,704.1798,132.712,78.8558,0.2317476,0.6429333,61.30557,63.34529,35.74311,36.03425,dc_SchGtKttmmTtVt_5,Sch,Wed May 31 21:17:09 2023,True
15,30.29503,8.216928000000001,846.5132,731.1706,721.0774,721.0765,131.72390000000001,77.28996000000001,0.23970429999999998,0.7167789,60.34698,62.03659,35.60803,35.85293,dc_SchGtKttmmTtVt_4,Sch,Wed May 31 21:17:07 2023,True
16,31.60167,9.484152,848.0711,739.7797,716.2503999999999,716.2495,134.0838,81.28647,0.2336595,0.6695365999999999,61.21638,63.95232,35.7298,36.11707,dc_SchGtKttmmTtVt_3,Sch,Wed May 31 21:17:05 2023,True
17,33.77434,11.093539999999999,851.0773,749.9257,710.2963,710.2955,137.6478,86.16783,0.2256927,0.6171207,62.94557,66.81017,35.9679,36.49654,dc_SchGtKttmmTtVt_2,Sch,Wed May 31 21:17:04 2023,True
18,31.25461,9.065619,835.4257,726.2127,705.3237,705.3228,133.4047,80.05131,0.2311124,0.6407881,61.45909,63.79495,35.76415,36.09565,dc_SchGtKttmmTtVt_1,Sch,Wed May 31 21:17:02 2023,True
19,31.144540000000003,9.030956999999999,840.1754999999999,730.2092,710.3339,710.3331000000001,133.2552,79.89159,0.23317459999999998,0.6594875,61.05701,63.40552,35.7074,36.0425,dc_SchGtKttmmTtVt,Sch,Wed May 31 21:17:00 2023,True
