,gmid10_id,gmid15_id,gmid10_vgs,gmid15_vgs,gmid10_vth,gmid15_vth,gmid10_vdsat,gmid15_vdsat,gmid10_rds,gmid15_rds,gmid10_gmrds,gmid15_gmrds,gmid10_gmrds_db,gmid15_gmrds_db,name,type,time,OK
0,1.113076,0.2592565,-1176.6460000000002,-1047.496,1020.572,1020.572,169.9776,91.69111000000001,236.38739999999999,966.012,2195.257,2412.501,66.80494,67.64361,dc_SchGtKttmmTtVt_19,Sch,Wed May 31 21:05:22 2023,True
1,1.113969,0.2568568,-1175.336,-1045.4209999999998,1019.4380000000001,1019.4380000000001,169.9224,91.32268,237.12449999999998,968.6886,2193.279,2406.615,66.79595,67.62293,dc_SchGtKttmmTtVt_18,Sch,Wed May 31 21:05:20 2023,True
2,1.117978,0.2555608,-1173.343,-1042.87,1017.495,1017.495,169.9853,91.0812,237.65109999999999,965.4307,2191.51,2402.777,66.78696,67.60993,dc_SchGtKttmmTtVt_17,Sch,Wed May 31 21:05:19 2023,True
3,1.1163640000000001,0.2592163,-1175.4679999999998,-1046.106,1019.35,1019.35,170.0645,91.63048,236.63729999999998,963.0822999999999,2194.329,2411.088,66.79997,67.63909,dc_SchGtKttmmTtVt_16,Sch,Wed May 31 21:05:17 2023,True
4,1.111265,0.2554311,-1175.903,-1045.712,1020.1880000000001,1020.1880000000001,169.7997,91.1539,237.2139,973.8782,2193.465,2404.511,66.7975,67.615,dc_SchGtKttmmTtVt_15,Sch,Wed May 31 21:05:16 2023,True
5,1.1141709999999998,0.25263169999999996,-1173.9440000000002,-1042.802,1018.451,1018.451,169.78119999999998,90.70794000000001,237.97039999999998,974.4834999999999,2191.447,2397.85,66.78777,67.59171,dc_SchGtKttmmTtVt_14,Sch,Wed May 31 21:05:14 2023,True
6,1.115638,0.2596767,-1176.1399999999999,-1046.95,1020.032,1020.032,170.05700000000002,91.70912,236.32119999999998,963.5776999999999,2195.411,2412.656,66.80498,67.64442,dc_SchGtKttmmTtVt_13,Sch,Wed May 31 21:05:12 2023,True
7,1.1181759999999998,0.2578237,-1174.3680000000002,-1044.502,1018.357,1018.357,170.0644,91.39977,237.0297,963.2412999999999,2193.251,2407.534,66.7947,67.62672,dc_SchGtKttmmTtVt_12,Sch,Wed May 31 21:05:10 2023,True
8,1.106942,0.2563967,-1177.088,-1047.472,1021.2410000000001,1021.2410000000001,169.7253,91.37075,237.0751,974.8345999999999,2193.525,2407.716,66.79881,67.62608,dc_SchGtKttmmTtVt_11,Sch,Wed May 31 21:05:09 2023,True
9,1.112103,0.2555696,-1175.567,-1045.375,1019.814,1019.814,169.82829999999998,91.1622,237.29219999999998,972.596,2193.104,2404.452,66.79567,67.61496,dc_SchGtKttmmTtVt_10,Sch,Wed May 31 21:05:07 2023,True
10,1.118565,0.26287869999999997,-1175.042,-1046.664,1018.4159999999999,1018.4159999999999,170.2613,92.13811,236.4893,953.3022,2193.479,2417.444,66.7955,67.66238,dc_SchGtKttmmTtVt_9,Sch,Wed May 31 21:05:05 2023,True
11,1.1073890000000002,0.2496253,-1175.022,-1043.348,1019.849,1019.849,169.50119999999998,90.36461,238.4551,985.9318,2190.75,2393.044,66.78648,67.57369,dc_SchGtKttmmTtVt_8,Sch,Wed May 31 21:05:04 2023,True
12,1.108538,0.2540023,-1176.346,-1045.8829999999998,1020.7969999999999,1020.7969999999999,169.6777,90.98523999999999,237.3724,978.8172,2193.357,2402.287,66.79773,67.60668,dc_SchGtKttmmTtVt_7,Sch,Wed May 31 21:05:02 2023,True
13,1.117616,0.25648319999999997,-1173.975,-1043.764,1018.074,1018.074,170.0052,91.21567,237.35549999999998,965.2887999999999,2192.423,2404.823,66.79115,67.61706,dc_SchGtKttmmTtVt_6,Sch,Wed May 31 21:05:00 2023,True
14,1.116989,0.2551818,-1173.735,-1043.188,1017.9590000000001,1017.9590000000001,169.9442,91.03769,237.60459999999998,967.6166,2191.899,2402.323,66.78899,67.60809,dc_SchGtKttmmTtVt_5,Sch,Wed May 31 21:04:59 2023,True
15,1.1193419999999998,0.25767029999999996,-1173.8519999999999,-1043.888,1017.834,1017.834,170.0903,91.36176,237.1377,961.9684,2192.827,2406.872,66.79248,67.62456,dc_SchGtKttmmTtVt_4,Sch,Wed May 31 21:04:57 2023,True
16,1.1120290000000002,0.2568029,-1175.729,-1045.918,1019.8179999999999,1019.8179999999999,169.8726,91.34652,237.18019999999999,970.0976999999999,2193.065,2406.918,66.79549,67.62386,dc_SchGtKttmmTtVt_3,Sch,Wed May 31 21:04:55 2023,True
17,1.116866,0.253121,-1173.012,-1041.906,1017.42,1017.42,169.8707,90.74735000000001,238.03539999999998,969.9529,2190.863,2398.262,66.78439,67.59364,dc_SchGtKttmmTtVt_2,Sch,Wed May 31 21:04:54 2023,True
18,1.112898,0.2569463,-1175.623,-1045.8,1019.712,1019.712,169.89860000000002,91.35310000000001,237.11059999999998,969.3584999999999,2193.295,2407.067,66.79629,67.62444,dc_SchGtKttmmTtVt_1,Sch,Wed May 31 21:04:52 2023,True
19,1.110502,0.2569703,-1176.279,-1046.609,1020.3670000000001,1020.3670000000001,169.83780000000002,91.39591,237.06109999999998,971.1922999999999,2193.45,2407.819,66.79759,67.62686,dc_SchGtKttmmTtVt,Sch,Wed May 31 21:04:50 2023,True
