,gmid10_id,gmid15_id,gmid10_vgs,gmid15_vgs,gmid10_vth,gmid15_vth,gmid10_vdsat,gmid15_vdsat,gmid10_rds,gmid15_rds,gmid10_gmrds,gmid15_gmrds,gmid10_gmrds_db,gmid15_gmrds_db,name,type,time,OK
0,3.40678,1.147871,-1281.805,-1191.2640000000001,1104.8899999999999,1104.8899999999999,173.9578,107.93809999999999,89.80953,230.51999999999998,2583.139,3229.789,68.1889,70.18348,dc_SchGtKfsTlVh,Sch,Wed May 31 21:10:22 2023,True
1,3.143082,1.145828,-1353.0439999999999,-1260.976,1170.342,1170.342,174.0062,109.47030000000001,100.62049999999999,287.5645,2546.818,3120.787,68.02477,69.8648,dc_SchGtKsfTlVh,Sch,Wed May 31 21:10:20 2023,True
2,3.344809,1.149167,-1289.902,-1202.617,1113.748,1113.748,173.93710000000002,109.0248,86.86596999999999,197.4131,2590.713,3273.955,68.23719,70.29397,dc_SchGtKffTlVh,Sch,Wed May 31 21:10:18 2023,True
3,3.077758,1.154893,-1344.684,-1254.292,1164.074,1164.074,172.2623,109.1459,101.5805,284.1452,2552.148,3119.085,68.04289,69.85201,dc_SchGtKssTlVh,Sch,Wed May 31 21:10:16 2023,True
4,1.398973,0.01395734,-957.7689,-603.3811999999999,856.1149,856.1149,154.2512,56.7352,220.06629999999998,11743.98,2475.532,2284.861,67.86056,67.1771,dc_SchGtKfsThVh,Sch,Wed May 31 21:10:15 2023,True
5,1.259309,0.124214,-1041.477,-846.8656,921.5407,921.5407,159.1087,74.17487,241.86239999999998,2275.533,2483.709,2669.613,67.86994,68.52642,dc_SchGtKsfThVh,Sch,Wed May 31 21:10:13 2023,True
6,1.372517,0.028300080000000002,-970.0444,-658.4053,864.9687,864.9687,156.4019,59.65474,220.6215,8981.723,2482.981,2344.897,67.89056,67.39832,dc_SchGtKffThVh,Sch,Wed May 31 21:10:11 2023,True
7,1.263461,0.07954007,-1029.519,-809.6102,915.2773,915.2773,155.8483,67.28566,232.29549999999998,2555.598,2480.743,2547.102,67.86366,68.11951,dc_SchGtKssThVh,Sch,Wed May 31 21:10:10 2023,True
8,3.404687,1.1472410000000002,-1281.826,-1191.306,1104.8899999999999,1104.8899999999999,173.9737,107.9613,83.45007,218.0341,2392.503,3042.668,67.51503,69.66495,dc_SchGtKfsTlVl,Sch,Wed May 31 21:10:08 2023,True
9,3.141334,1.145331,-1353.0690000000002,-1261.017,1170.342,1170.342,174.0255,109.4958,93.39509,272.45,2357.104,2938.507,67.34069,69.33526,dc_SchGtKsfTlVl,Sch,Wed May 31 21:10:06 2023,True
10,3.3426699999999996,1.1492660000000001,-1289.921,-1202.663,1113.748,1113.748,173.9515,109.0595,80.6151,186.0053,2398.074,3082.34,67.56116,69.76888,dc_SchGtKffTlVl,Sch,Wed May 31 21:10:04 2023,True
11,3.076125,1.15444,-1344.711,-1254.3329999999999,1164.074,1164.074,172.2828,109.1724,94.30024999999999,269.1774,2363.241,2938.189,67.36367,69.32506,dc_SchGtKssTlVl,Sch,Wed May 31 21:10:02 2023,True
12,1.398368,0.01395498,-957.8119,-603.4221,856.1149,856.1149,154.2766,56.73799,205.003,11282.68,2298.29,2192.738,67.21131,66.81962,dc_SchGtKfsThVl,Sch,Wed May 31 21:10:01 2023,True
13,1.258735,0.1242356,-1041.513,-846.9612,921.5407,921.5407,159.1319,74.1975,224.69449999999998,2170.515,2301.115,2539.109,67.20069,68.09202,dc_SchGtKsfThVl,Sch,Wed May 31 21:09:59 2023,True
14,1.371866,0.0282794,-970.086,-658.4533,864.9687,864.9687,156.42610000000002,59.65762,205.39749999999998,8621.511,2303.735,2247.351,67.23662,67.02888,dc_SchGtKffThVl,Sch,Wed May 31 21:09:57 2023,True
15,1.262953,0.07964604,-1029.558,-809.7123,915.2773,915.2773,155.8732,67.31132,215.7942,2440.208,2299.547,2429.64,67.19979,67.70986,dc_SchGtKssThVl,Sch,Wed May 31 21:09:55 2023,True
